q1,q2,q3,q4,phi,theta,psi,wx,wy,wz
0,0,0,1,0,0,0,0.0017453,0,-0.005236
0.0043629,-3.8074e-05,-0.01309,0.9999,-0.02618,3.8075e-05,0.008726,0.0017451,-3.0461e-05,-0.005236
0.0087229,-0.00015226,-0.026177,0.99962,-0.05236,0.00015227,0.017448,0.0017445,-6.0914e-05,-0.0052359
0.013077,-0.00034245,-0.039259,0.99914,-0.078541,0.0003425,0.026162,0.0017435,-9.1352e-05,-0.0052357
0.017423,-0.00060847,-0.052335,0.99848,-0.10472,0.00060861,0.034864,0.0017421,-0.00012177,-0.0052355
0.021758,-0.00095006,-0.065401,0.99762,-0.13091,0.00095039,0.04355,0.0017403,-0.00015216,-0.0052352
0.026078,-0.0013669,-0.078456,0.99658,-0.15709,0.0013676,0.052216,0.0017382,-0.00018251,-0.0052348
0.030382,-0.0018586,-0.091497,0.99534,-0.18328,0.0018599,0.060859,0.0017356,-0.00021281,-0.0052344
0.034666,-0.0024247,-0.10452,0.99392,-0.20947,0.0024269,0.069473,0.0017326,-0.00024307,-0.0052339
0.038928,-0.0030646,-0.11753,0.9923,-0.23566,0.0030681,0.078056,0.0017292,-0.00027326,-0.0052333
0.043164,-0.0037778,-0.13051,0.9905,-0.26186,0.0037832,0.086604,0.0017254,-0.0003034,-0.0052327
0.047373,-0.0045636,-0.14347,0.98851,-0.28805,0.0045714,0.095111,0.0017213,-0.00033345,-0.005232
0.051551,-0.0054212,-0.15641,0.98633,-0.31426,0.0054322,0.10358,0.0017167,-0.00036343,-0.0052313
0.055696,-0.0063498,-0.16932,0.98397,-0.34046,0.0063649,0.11199,0.0017118,-0.00039332,-0.0052304
0.059805,-0.0073485,-0.1822,0.98141,-0.36667,0.0073688,0.12036,0.0017064,-0.00042312,-0.0052296
0.063875,-0.0084165,-0.19504,0.97868,-0.39289,0.0084431,0.12867,0.0017007,-0.00045281,-0.0052286
0.067905,-0.0095526,-0.20786,0.97575,-0.41911,0.009587,0.13692,0.0016946,-0.0004824,-0.0052276
0.07189,-0.010756,-0.22063,0.97264,-0.44534,0.010799,0.14511,0.0016881,-0.00051187,-0.0052266
0.07583,-0.012025,-0.23337,0.96935,-0.47157,0.01208,0.15323,0.0016812,-0.00054122,-0.0052255
0.079721,-0.013359,-0.24606,0.96588,-0.49781,0.013426,0.16129,0.001674,-0.00057043,-0.0052243
0.08356,-0.014757,-0.25871,0.96222,-0.52406,0.014839,0.16927,0.0016663,-0.00059951,-0.0052231
0.087347,-0.016216,-0.27132,0.95838,-0.55031,0.016315,0.17717,0.0016583,-0.00062845,-0.0052218
0.091077,-0.017737,-0.28387,0.95436,-0.57657,0.017855,0.18499,0.0016499,-0.00065724,-0.0052205
0.094749,-0.019316,-0.29638,0.95016,-0.60284,0.019457,0.19273,0.0016411,-0.00068587,-0.0052191
0.098361,-0.020954,-0.30883,0.94578,-0.62912,0.02112,0.20038,0.001632,-0.00071434,-0.0052177
0.10191,-0.022648,-0.32123,0.94123,-0.65541,0.022842,0.20794,0.0016225,-0.00074264,-0.0052162
0.10539,-0.024397,-0.33358,0.9365,-0.68171,0.024621,0.2154,0.0016126,-0.00077076,-0.0052147
0.10881,-0.026198,-0.34586,0.93159,-0.70801,0.026458,0.22277,0.0016024,-0.0007987,-0.0052131
0.11216,-0.028051,-0.35808,0.9265,-0.73433,0.028349,0.23003,0.0015918,-0.00082645,-0.0052115
0.11544,-0.029954,-0.37024,0.92125,-0.76066,0.030293,0.2372,0.0015809,-0.000854,-0.0052098
0.11864,-0.031904,-0.38234,0.91582,-0.787,0.032289,0.24425,0.0015696,-0.00088135,-0.0052081
0.12177,-0.0339,-0.39436,0.91022,-0.81336,0.034335,0.25119,0.0015579,-0.0009085,-0.0052063
0.12482,-0.03594,-0.40632,0.90445,-0.83972,0.036429,0.25802,0.0015459,-0.00093543,-0.0052046
0.12779,-0.038022,-0.4182,0.89851,-0.8661,0.03857,0.26473,0.0015336,-0.00096214,-0.0052027
0.13069,-0.040144,-0.43001,0.89241,-0.89249,0.040755,0.27132,0.0015209,-0.00098862,-0.0052009
0.1335,-0.042304,-0.44175,0.88614,-0.9189,0.042983,0.27778,0.0015079,-0.0010149,-0.005199
0.13622,-0.0445,-0.45341,0.87971,-0.94532,0.045252,0.28412,0.0014945,-0.0010409,-0.005197
0.13887,-0.04673,-0.46499,0.87311,-0.97176,0.047559,0.29034,0.0014808,-0.0010666,-0.0051951
0.14142,-0.048992,-0.47648,0.86635,-0.99821,0.049903,0.29642,0.0014668,-0.0010922,-0.0051931
0.14389,-0.051283,-0.48789,0.85943,-1.0247,0.052282,0.30236,0.0014525,-0.0011174,-0.0051911
0.14627,-0.053601,-0.49922,0.85236,-1.0512,0.054693,0.30817,0.0014378,-0.0011424,-0.005189
0.14856,-0.055945,-0.51046,0.84512,-1.0777,0.057134,0.31384,0.0014228,-0.0011672,-0.005187
0.15075,-0.058311,-0.52161,0.83774,-1.1042,0.059604,0.31937,0.0014075,-0.0011916,-0.0051849
0.15286,-0.060698,-0.53266,0.83019,-1.1307,0.062099,0.32476,0.0013919,-0.0012158,-0.0051828
0.15487,-0.063103,-0.54363,0.8225,-1.1573,0.064617,0.33,0.001376,-0.0012397,-0.0051807
0.15678,-0.065525,-0.55449,0.81466,-1.1839,0.067157,0.33509,0.0013598,-0.0012633,-0.0051785
0.1586,-0.067959,-0.56526,0.80666,-1.2105,0.069716,0.34003,0.0013433,-0.0012867,-0.0051764
