obsECIx,obsECIy,obsECIz,jdHistory,obsRelx,obsRely,obsRelz,sunPosIx,sunPosIy,sunPosz
-805895.6597494644,5250274.082607591,3530691.976633616,2458535.993637051,-20005242.49375421,-32290045.04985061,3505819.230560807,130976795996.8508,-63107411450.49969,-27357050978.00636
-807809.9137004651,5249977.541270329,3530695.476850613,2458535.993694921,-19993470.01754364,-32297342.01809693,3505833.961544489,130976867667.2457,-63107290007.94686,-27356998329.85944
-809724.0594034612,5249680.302001785,3530698.976855236,2458535.993752792,-19981694.88275323,-32304634.69314453,3505848.695620616,130976939336.9285,-63107168566.31037,-27356945682.10983
-811638.0966039889,5249382.364841473,3530702.476647017,2458535.993810662,-19969917.09094885,-32311923.07402516,3505863.432787224,130977011007.0562,-63107047123.62926,-27356893033.90744
-813552.0250857952,5249083.729823037,3530705.976225563,2458535.993868533,-19958136.64373486,-32319207.15977713,3505878.173042426,130977082677.0484,-63106925680.88752,-27356840385.67883
-815465.829089138,5248784.399414144,3530709.475562054,2458535.993926403,-19946353.52717249,-32326486.94700541,3505892.916355908,130977154346.3311,-63106804239.057,-27356787737.84532
-817379.5392565113,5248484.368822151,3530712.974712522,2458535.993984273,-19934567.77372563,-32333762.43957587,3505907.662782206,130977226016.0588,-63106682796.18201,-27356735089.55909
-819293.1399037128,5248183.640497376,3530716.473648289,2458535.994042144,-19922779.36953165,-32341033.63411215,3505922.412291145,130977297685.6529,-63106561353.24286,-27356682441.2451
-821206.6153882695,5247882.216906706,3530719.972340754,2458535.994100014,-19910988.30077009,-32348300.52722197,3505937.164852629,130977369354.5367,-63106439911.21679,-27356629793.32703
-823119.9962328551,5247580.093242001,3530723.470845723,2458535.994157884,-19899194.59978596,-32355563.12278874,3505951.920520968,130977441023.8606,-63106318468.15459,-27356577144.95984
-825033.2667941428,5247277.271964728,3530726.969134597,2458535.994215755,-19887398.2527586,-32362821.41742691,3505966.679266063,130977512693.0529,-63106197025.02486,-27356524496.56345
-826946.4114705487,5246973.755552816,3530730.467178847,2458535.994273625,-19875599.24590942,-32370075.40773517,3505981.441057891,130977584361.5368,-63106075582.80473,-27356471848.56146
-828859.4607031075,5246669.539176858,3530733.965034132,2458535.994331495,-19863797.6115028,-32377325.09762017,3505996.20595061,130977656030.4667,-63105954139.53829,-27356419200.10594
-830772.3988893752,5246364.625309376,3530737.462671925,2458535.994389366,-19851993.33575996,-32384570.48368733,3506010.973914196,130977727699.2559,-63105832696.2198,-27356366551.62793
-832685.2103923159,5246059.016451474,3530740.960063636,2458535.994447236,-19840186.40486787,-32391811.56251412,3506025.74491856,130977799367.339,-63105711253.80743,-27356313903.54282
-834597.9257240088,5245752.707728252,3530744.457265053,2458535.994505106,-19828376.85116297,-32399048.33805472,3506040.51901799,130977871035.8679,-63105589810.34884,-27356261255.0042
-836510.5292465501,5245445.701635388,3530747.954247583,2458535.994562977,-19816564.66083203,-32406280.80689335,3506055.296182393,130977942704.2602,-63105468366.83117,-27356208606.44005
-838423.0053256494,5245138.000691086,3530751.45098264,2458535.994620847,-19804749.82006575,-32413508.96559242,3506070.076381684,130978014371.9492,-63105346924.21453,-27356155958.2666
-840335.3844680353,5244829.599987078,3530754.947526004,2458535.994678718,-19792932.36119623,-32420732.81814144,3506084.859670141,130978086040.0733,-63105225480.57042,-27356103309.64777
-842247.6510385436,5244520.502036143,3530758.443849085,2458535.994736588,-19781112.27041397,-32427952.36110957,3506099.646017674,130978157708.0648,-63105104036.86049,-27356050661.00048
-844159.7894438033,5244210.709367397,3530761.939923376,2458535.994794458,-19769289.53395166,-32435167.59105023,3506114.435394273,130978229375.3488,-63104982594.05855,-27355998012.7469
-846071.8301088419,5243900.21705157,3530765.435804504,2458535.994852329,-19757464.1840606,-32442378.511976,3506129.227854065,130978301043.0749,-63104861150.21711,-27355945364.04274
-847983.7574394094,5243589.027612369,3530768.931463954,2458535.994910199,-19745636.20697328,-32449585.12044707,3506144.023367031,130978372710.6713,-63104739706.30466,-27355892715.30787
-849895.5711813385,5243277.141091158,3530772.426901264,2458535.99496807,-19733805.60426256,-32456787.41550663,3506158.821931208,130978444378.1282,-63104618262.3384,-27355840066.54973
-851807.2556686711,5242964.560052291,3530775.922087795,2458535.99502594,-19721972.36208979,-32463985.39367563,3506173.623516451,130978516044.8798,-63104496819.2766,-27355787418.18378
-853718.841509949,5242651.279490907,3530779.417079502,2458535.99508381,-19710136.51289118,-32471179.05904484,3506188.428177213,130978587712.0733,-63104375375.17532,-27355734769.36725
-855630.3129620329,5242337.301978427,3530782.911847607,2458535.995141681,-19698298.04275161,-32478368.40812943,3506203.235883212,130978659379.136,-63104253931.00491,-27355682120.52083
-857541.6543999198,5242022.630090076,3530786.406363539,2458535.995199551,-19686456.93787462,-32485553.43744132,3506218.046604372,130978731045.4847,-63104132487.75426,-27355629472.07322
-859452.8963885256,5241707.258793837,3530789.900683184,2458535.995257421,-19674613.23065346,-32492734.15110061,3506232.860395074,130978802712.2802,-63104011043.45567,-27355576823.17137
-861364.0233019472,5241391.190659435,3530793.394777969,2458535.995315292,-19662766.90729167,-32499910.54562597,3506247.677225239,130978874378.9391,-63103889599.09804,-27355524174.24399
-863275.0194417257,5241074.428291768,3530796.888619196,2458535.995373162,-19650917.9539196,-32507082.617502,3506262.497064664,130978946044.8888,-63103768155.65171,-27355471525.71175
-865185.9153291252,5240756.966631721,3530800.382262666,2458535.995431032,-19639066.40288863,-32514250.37087752,3506277.319967644,130979017711.2845,-63103646711.15912,-27355418876.72601
-867096.6953410662,5240438.808266156,3530803.875679814,2458535.995488903,-19627212.24040547,-32521413.80225637,3506292.145904107,130979089377.5455,-63103525266.60407,-27355366227.71326
-869007.3438582106,5240119.95580444,3530807.368842084,2458535.995546773,-19615355.45268119,-32528572.9081204,3506306.974843988,130979161043.0942,-63103403822.9656,-27355313579.09793
-870917.8913581399,5239800.404160424,3530810.861805199,2458535.995604644,-19603496.07202401,-32535727.69264769,3506321.806841504,130979232709.0859,-63103282378.28581,-27355260930.03125
-872828.3222206126,5239480.15593805,3530814.354540599,2458535.995662514,-19591634.0846447,-32542878.15232689,3506336.641866587,130979304374.949,-63103160933.53357,-27355208280.93322
-874738.6208291554,5239159.213763773,3530817.847019734,2458535.995720384,-19579769.47675812,-32550024.28362479,3506351.479889179,130979376040.0977,-63103039489.701,-27355155632.23396
-876648.8176557652,5238837.572518105,3530821.339298314,2458535.995778255,-19567902.28066791,-32557166.09075483,3506366.32096348,130979447705.6935,-63102918044.82043,-27355102983.08045
-878558.8970830636,5238515.234822083,3530824.831347789,2458535.995836125,-19556032.48258869,-32564303.57019054,3506381.165059431,130979519371.1527,-63102796599.88091,-27355050333.90144
-880468.8435355681,5238192.203312778,3530828.32313968,2458535.995893995,-19544160.06877729,-32571436.71839012,3506396.012147042,130979591035.9044,-63102675155.84924,-27354997685.11607
-882378.6874034314,5237868.472850272,3530831.814729549,2458535.995951866,-19532285.07145651,-32578565.53958943,3506410.862280368,130979662701.0963,-63102553710.78167,-27354945035.8817
-884288.4131102609,5237544.046066239,3530835.306088917,2458535.996009736,-19520407.47688293,-32585690.03025339,3506425.715429417,130979734366.1604,-63102432265.63979,-27354892386.61517
-886198.0050453697,5237218.925621286,3530838.797189248,2458535.996067606,-19508527.27127916,-32592810.18681866,3506440.571564142,130979806030.5084,-63102310821.42098,-27354839737.74891
-888107.493669481,5236893.106329278,3530842.288086229,2458535.996125477,-19496644.48693955,-32599926.01356932,3506455.430738718,130979877695.3033,-63102189376.15419,-27354787088.42837
-890016.863370982,5236566.590845407,3530845.778751316,2458535.996183347,-19484759.11008649,-32607037.50694875,3506470.292923091,130979949359.9625,-63102067930.82671,-27354734439.0816
-891926.0985421068,5236239.381847353,3530849.269155979,2458535.996241217,-19472871.12694647,-32614144.66337859,3506485.158087218,130980021023.9145,-63101946486.40719,-27354681790.12851
-893835.2296378845,5235911.474115663,3530852.759355891,2458535.996299088,-19460980.56980909,-32621247.48717823,3506500.026285259,130980092688.3085,-63101825040.94817,-27354629140.72486
-895744.2410496201,5235582.870322607,3530856.249322521,2458535.996356959,-19449087.42490068,-32628345.97477598,3506514.897487169,130980164352.5687,-63101703595.42513,-27354576491.29352
-897653.1171724813,5235253.573162938,3530859.73902734,2458535.996414829,-19437191.67845163,-32635440.1225784,3506529.771662906,130980236016.1198,-63101582150.81345,-27354523842.25735
-899561.888455773,5234923.577383886,3530863.228526012,2458535.996472699,-19425293.36274681,-32642529.93494023,3506544.648866619,130980307680.1107,-63101460705.16557,-27354471192.77202
-901470.5393318199,5234592.885668196,3530866.71779008,2458535.99653057,-19413392.46405459,-32649615.40828128,3506559.529068339,130980379343.976,-63101339259.43996,-27354418543.25308
-903379.0540844845,5234261.500747498,3530870.206790811,2458535.99658844,-19401488.96849491,-32656696.53897329,3506574.412237816,130980451007.1261,-63101217814.63589,-27354365894.13371
