t,mApp
0,25.3442984
5,25.4033764
10,25.4664496
15,25.5339855
20,25.6065476
25,25.6848236
30,25.7696641
35,25.862139
40,25.9636195
45,26.0759025
50,26.2014078
55,26.3435037
60,26.507077
65,26.6996109
70,26.9334266
75,27.2310322
80,27.6408032
85,28.3031886
90,30.2697437
95,Inf
100,Inf
105,31.340768
110,28.3485457
115,27.6337329
120,27.20846
125,26.9054172
130,26.6703167
135,26.4785961
140,26.3170325
145,26.1776848
150,26.0554088
155,25.9466809
160,25.8489818
165,25.7604478
170,25.6796618
175,25.605521
180,25.5371506
185,25.473845
190,25.4150271
195,25.3602188
200,25.3090197
205,25.2610916
210,25.2161457
215,25.1739342
220,25.1342425
225,25.0968838
230,25.0616947
235,25.0285313
240,24.9972666
245,24.975504
250,25.0098717
255,25.0460113
260,25.0840382
265,25.1240823
270,25.1662902
275,25.2108284
280,25.2578871
285,25.3076843
290,25.3604721
295,25.4165435
300,25.4762423
305,25.5399749
310,25.6082266
315,25.6815838
320,25.7607631
325,25.8466542
330,25.9403792
335,26.0433817
340,26.1575633
345,26.285499
350,26.4307993
355,26.5987523
360,26.7975557
365,27.0409431
370,27.3546592
375,27.7964972
380,27.9026161
385,27.911786
390,27.4409041
395,27.115385
400,26.8669577
405,26.6664332
410,26.4986272
415,26.3546246
420,26.228742
425,26.1171331
430,26.0170732
435,25.9265617
440,25.8440863
445,25.7684761
450,25.6988059
455,25.6343322
460,25.5744485
465,25.5186536
470,25.4665287
475,25.4177205
480,25.3719279
485,25.3288927
490,25.2883915
495,25.2502302
500,25.2142387
505,25.1955822
510,24.8970421
515,24.4755876
520,24.1828474
525,23.9610451
530,23.7844582
535,23.6393781
540,23.517634
545,23.4139677
550,23.3248005
555,23.2475918
560,23.1804777
565,23.1220551
570,23.071246
575,23.0272092
580,22.9892801
585,22.9569302
590,22.9297371
595,22.9073637
600,22.8895427
605,22.876066
610,22.8667753
615,22.8615576
620,22.86034
625,22.8630878
630,22.8698033
635,22.8805254
640,22.8953316
645,22.9143401
650,22.9377143
655,22.9654127
660,22.9930466
665,23.02555
670,23.0632609
675,23.1062333
680,23.1490584
685,23.1980934
690,23.2540015
695,23.3176246
700,23.3900444
705,23.4726709
710,23.5673802
715,23.6767332
720,23.8043422
725,23.9555239
730,24.1385558
735,24.367363
740,24.668176
745,25.1003053
750,25.809951
755,25.747427
760,25.689409
765,25.6354168
770,25.5850483
775,25.5379635
780,25.493872
785,25.4525244
790,25.4137046
795,25.3772244
800,25.342919
805,25.3106431
810,25.2802683
815,25.2516803
820,25.2257951
825,25.2573798
830,25.2905119
835,25.3252781
840,25.361775
845,25.4001112
850,25.4404086
855,25.482805
860,25.5274565
865,25.5745412
870,25.6242631
875,25.6768574
880,25.7325969
885,25.7918007
890,25.8548448
895,25.9221766
900,25.9943338
905,26.0719706
910,26.1558934
915,26.2471124
920,26.3469156
925,26.4569818
930,26.5795556
935,26.7177339
940,26.8759609
945,27.0609437
950,27.283508
955,27.5628604
960,27.9383606
965,28.5138756
970,28.5293811
975,28.1010228
980,27.6384498
985,27.3168635
990,27.0706622
995,26.8715587
1000,26.7047444
1005,26.5614887
1010,26.4362102
1015,26.3251231
1020,26.2255416
1025,26.1354911
1030,26.0534773
1035,25.9783424
1040,25.909171
1045,25.8452271
1050,25.78591
1055,25.7307231
1060,25.6792514
1065,25.6311446
1070,25.5861042
1075,25.543874
1080,25.5042325
1085,25.4669869
1090,25.4319687
1095,25.3990293
1100,25.3680376
1105,25.3984358
1110,25.433493
1115,25.4704074
1120,25.5092995
1125,25.5503052
1130,25.5935787
1135,25.6392956
1140,25.6876567
1145,25.7388935
1150,25.7932745
1155,25.8511131
1160,25.9127785
1165,25.9787093
1170,26.0494324
1175,26.1255875
1180,26.2079624
1185,26.2975421
1190,26.3955798
1195,26.5037051
1200,26.6240901
1205,26.7597213
1210,26.9148643
1215,27.0959178
1220,27.3131252
1225,27.5844443
1230,27.9459825
1235,28.4896325
1240,29.6214465
1245,Inf
1250,30.0003004
1255,26.8413492
1260,25.6573723
1265,25.121248
1270,24.7766296
1275,24.5258755
1280,24.3313178
1285,24.1744166
1290,24.0446757
1295,23.9355818
1300,23.8428223
1305,23.7634013
1310,23.6951604
1315,23.6365005
1320,23.5862108
1325,23.5433602
1330,23.5072249
1335,23.4772391
1340,23.4529609
1345,23.4340482
1350,23.4202414
1355,23.4113513
1360,23.4072508
1365,23.4078696
1370,23.4131912
1375,23.4232523
1380,23.4381445
1385,23.4580177
1390,23.484219
1395,23.5237878
1400,23.5698826
1405,23.6232012
1410,23.6846375
1415,23.7553489
1420,23.8368576
1425,23.9312077
1430,24.0412186
1435,24.1709184
1440,24.32633
1445,24.5170304
1450,24.7596118
1455,25.0867723
1460,25.5785858
1465,26.156429
1470,26.2234246
1475,26.2954199
1480,26.3731015
1485,26.4573194
1490,26.5491417
1495,26.6499372
1500,26.7614994
1505,26.8862427
1510,27.0275265
1515,27.1902231
1520,27.3817891
1525,27.6144942
1530,27.9107293
1535,28.3185386
1540,28.9769344
1545,30.9072759
1550,29.5934365
1555,28.6089795
1560,28.1041078
1565,27.7630677
1570,27.5058452
1575,27.2997382
1580,27.1281324
1585,26.9814217
1590,26.8535478
1595,26.740444
1600,26.6392475
1605,26.5478669
1610,26.464728
1615,26.3886163
1620,26.318575
1625,26.2538376
1630,26.1937799
1635,26.1378878
1640,26.0857321
1645,26.0369517
1650,25.9912394
1655,25.9483321
1660,25.9080028
1665,25.8700543
1670,25.8343145
1675,25.8006322
1680,25.7688741
1685,25.738922
1690,25.7106709
1695,25.6840271
1700,25.6589067
1705,25.6529804
1710,25.6850523
1715,25.7186965
1720,25.7540082
1725,25.7910935
1730,25.8300715
1735,25.8710765
1740,25.9142601
1745,25.9597946
1750,26.0078769
1755,26.0587334
1760,26.1126258
1765,26.1698591
1770,26.2307915
1775,26.2958476
1780,26.3655356
1785,26.4404711
1790,26.5214091
1795,26.60929
1800,26.7053054
1805,26.8109965
1810,26.9284055
1815,27.0603198
1820,27.2106853
1825,27.2359538
1830,27.2292627
1835,27.22355
1840,27.2188076
1845,27.2150279
1850,27.2122043
1855,27.1722378
1860,27.0281836
1865,26.9023538
1870,26.7908776
1875,26.6910152
1880,26.6007557
1885,26.5185799
1890,26.443312
1895,26.3740231
1900,26.309967
1905,26.2505351
1910,26.1952246
1915,26.1436155
1920,26.095353
1925,26.0501355
1930,26.0077037
1935,25.9678337
1940,25.9303306
1945,25.8950239
1950,25.8617635
1955,25.830417
1960,25.8008665
1965,25.8178665
1970,25.8474961
1975,25.8786297
1980,25.9113486
1985,25.9457439
1990,25.9819172
1995,26.0199827
2000,26.0600693
2005,26.1023226
2010,26.1469083
2015,26.1940157
2020,26.2438625
2025,26.2967002
2030,26.3528219
2035,26.4125714
2040,26.4763556
2045,26.544661
2050,26.6180756
2055,26.6973187
2060,26.7832838
2065,26.8770986
2070,26.9802154
2075,27.0945481
2080,26.8372967
2085,26.5296043
2090,26.3368591
2095,26.2151446
2100,26.1450281
2105,26.1174214
2110,26.1289925
2115,26.1739585
2120,26.2108118
2125,26.2384003
2130,26.3111432
2135,26.4383802
2140,26.6408497
2145,26.9667824
2150,27.2939866
2155,27.1562654
2160,27.0354355
2165,26.9280402
2170,26.8316022
2175,26.744286
2180,26.6646935
2185,26.5917354
2190,26.5245465
2195,26.4624281
2200,26.4048082
2205,26.3512124
2210,26.3012431
2215,26.2545638
2220,26.2108873
2225,26.1699664
2230,26.1315872
2235,26.095563
2240,26.0617304
2245,26.0299453
2250,26.0000802
2255,25.9720218
2260,25.945669
2265,25.9209311
2270,25.8977271
2275,25.9245648
2280,25.9541692
2285,25.9852126
2290,26.0177664
2295,26.0519099
2300,26.0877318
2305,26.1253311
2310,26.1648186
2315,26.2063195
2320,26.2499751
2325,26.2959459
2330,26.3444152
2335,26.3955932
2340,26.4497227
2345,26.5070861
2350,26.5680141
2355,26.6328972
2360,26.7022014
2365,26.7764882
2370,26.856443
2375,26.9429135
2380,27.0369659
2385,27.1399665
2390,27.2537057
2395,27.3805937
2400,27.523984
2405,27.68874
2410,27.7645975
2415,27.7412396
2420,27.7185918
2425,27.6966441
2430,27.6753884
2435,27.654818
2440,27.5132441
2445,27.3626381
2450,27.231672
2455,27.11604
2460,27.0127307
2465,26.9195555
2470,26.8348739
2475,26.7574244
2480,26.6862165
2485,26.6204581
2490,26.5595062
2495,26.5028315
2500,26.4499933
2505,26.4006211
2510,26.3543999
2515,26.3110607
2520,26.2703709
2525,26.2321292
2530,26.1961596
2535,26.1623075
2540,26.1304368
2545,26.1004267
2550,26.07217
2555,26.0455708
2560,26.0623625
2565,26.0931298
2570,26.1254793
2575,26.1595006
2580,26.1952941
2585,26.2329718
2590,26.2726601
2595,26.3145015
2600,26.3586578
2605,26.4053134
2610,26.4546801
2615,26.5070021
2620,26.562563
2625,26.6216953
2630,26.6847912
2635,26.7523185
2640,26.8248411
2645,26.9030467
2650,26.9877862
2655,27.0801298
2660,27.1814486
2665,27.2935401
2670,27.4188241
2675,27.560669
2680,27.723962
2685,27.8355504
2690,27.8443573
2695,27.8537353
2700,27.8636723
2705,27.8741565
2710,27.8851768
2715,27.7447431
2720,27.5910681
2725,27.45756
2730,27.3397346
2735,27.2344703
2740,27.1395069
2745,27.0531549
2750,26.9741189
2755,26.6471241
2760,25.9526804
2765,25.5458298
2770,25.2611355
2775,25.0447225
2780,24.8721851
2785,24.730383
2790,24.6114308
2795,24.5102293
2800,24.4232956
2805,24.3481501
2810,24.2829693
2815,24.2263782
2820,24.1773187
2825,24.1349638
2830,24.1024704
2835,24.0784388
2840,24.0592398
2845,24.0446284
2850,24.0344175
2855,24.0284706
2860,24.0266959
2865,24.029044
2870,24.0355052
2875,24.0461099
2880,24.060929
2885,24.0800767
2890,24.1037149
2895,24.1320591
2900,24.1653871
2905,24.2040513
2910,24.2484949
2915,24.2992752
2920,24.357095
2925,24.4228484
2930,24.4976864
2935,24.583116
2940,24.6811524
2945,24.7945655
2950,24.9272974
2955,25.0852187
2960,25.2776165
2965,25.5204721
2970,25.8449584
2975,26.3260286
2980,27.2457432
2985,28.4920787
2990,28.4672568
2995,28.4448626
3000,28.3869584
3005,28.146228
3010,27.9510456
3015,27.7872605
3020,27.6464667
3025,27.5232613
3030,27.4139648
3035,27.3159584
3040,27.2273118
3045,27.1465613
3050,27.0725705
3055,27.0044399
3060,26.9414451
3065,26.8829941
3070,26.8285973
3075,26.7778451
3080,26.7303913
3085,26.685941
3090,26.6442408
3095,26.6050716
3100,26.5682426
3105,26.5335869
3110,26.5009576
3115,26.4702248
3120,26.4412732
3125,26.4140002
3130,26.3883139
3135,26.364132
3140,26.3413804
3145,26.3349895
3150,26.3630823
3155,26.3925207
3160,26.4233721
3165,26.4557114
3170,26.4896219
3175,26.5251962
3180,26.562538
3185,26.6017636
3190,26.6430039
3195,26.6864069
3200,26.732141
3205,26.7803983
3210,26.8313997
3215,26.8854006
3220,26.9426983
3225,27.0036417
3230,27.0686439
3235,27.138199
3240,27.2129042
