x,y,z,vx,vy,vz
19199346.834,37540319.1325,24872.7460728,-2737.0908778,1400.58443286,-2.24582275573
19185660.1038,37547319.5594,24861.5153061,-2737.60112617,1399.58629978,-2.2464838687
19171970.8233,37554314.9951,24850.2812346,-2738.11101051,1398.58798088,-2.24714468289
19158278.9943,37561305.4389,24839.0438598,-2738.62053076,1397.58947631,-2.24780519821
19144584.6186,37568290.8896,24827.8031831,-2739.12968685,1396.59078619,-2.24846541458
19130887.6981,37575271.3464,24816.5592061,-2739.63847871,1395.59191066,-2.24912533191
19117188.2345,37582246.8084,24805.3119303,-2740.14690627,1394.59284986,-2.2497849501
19103486.2296,37589217.2746,24794.0613571,-2740.65496947,1393.5936039,-2.25044426909
19089781.6854,37596182.7441,24782.8074881,-2741.16266823,1392.59417293,-2.25110328876
19076074.6036,37603143.216,24771.5503248,-2741.6700025,1391.59455709,-2.25176200905
19062364.986,37610098.6894,24760.2898685,-2742.1769722,1390.59475649,-2.25242042985
19048652.8344,37617049.1633,24749.026121,-2742.68357726,1389.59477129,-2.25307855109
19034938.1508,37623994.6368,24737.7590835,-2743.18981762,1388.5946016,-2.25373637267
19021220.9369,37630935.109,24726.4887577,-2743.69569322,1387.59424756,-2.25439389451
19007501.1945,37637870.579,24715.2151451,-2744.20120398,1386.59370931,-2.25505111653
18993778.9254,37644801.0458,24703.9382471,-2744.70634984,1385.59298697,-2.25570803862
18980054.1316,37651726.5085,24692.6580652,-2745.21113073,1384.59208069,-2.25636466072
18966326.8147,37658646.9663,24681.374601,-2745.71554658,1383.59099059,-2.25702098272
18952596.9767,37665562.4181,24670.0878559,-2746.21959733,1382.58971681,-2.25767700455
18938864.6194,37672472.8631,24658.7978314,-2746.72328291,1381.58825948,-2.25833272611
18925129.7445,37679378.3004,24647.5045291,-2747.22660325,1380.58661873,-2.25898814732
18911392.354,37686278.729,24636.2079504,-2747.72955829,1379.5847947,-2.25964326809
18897652.4495,37693174.1481,24624.9080969,-2748.23214796,1378.58278753,-2.26029808834
18883910.0331,37700064.5566,24613.6049701,-2748.73437219,1377.58059733,-2.26095260797
18870165.1064,37706949.9537,24602.2985713,-2749.23623092,1376.57822425,-2.26160682691
18856417.6714,37713830.3385,24590.9889023,-2749.73772408,1375.57566842,-2.26226074506
18842667.7298,37720705.7101,24579.6759644,-2750.23885161,1374.57292998,-2.26291436233
18828915.2835,37727576.0675,24568.3597592,-2750.73961343,1373.57000905,-2.26356767865
18815160.3343,37734441.4099,24557.0402881,-2751.24000948,1372.56690577,-2.26422069392
18801402.884,37741301.7363,24545.7175527,-2751.7400397,1371.56362028,-2.26487340806
18787642.9345,37748157.0458,24534.3915545,-2752.23970401,1370.56015271,-2.26552582098
18773880.4876,37755007.3375,24523.062295,-2752.73900236,1369.55650318,-2.26617793259
18760115.5451,37761852.6105,24511.7297757,-2753.23793467,1368.55267184,-2.26682974281
18746348.1088,37768692.8639,24500.3939981,-2753.73650088,1367.54865882,-2.26748125155
18732578.1807,37775528.0968,24489.0549637,-2754.23470093,1366.54446425,-2.26813245873
18718805.7624,37782358.3083,24477.712674,-2754.73253474,1365.54008826,-2.26878336425
18705030.8559,37789183.4974,24466.3671306,-2755.23000226,1364.53553099,-2.26943396803
18691253.463,37796003.6633,24455.0183348,-2755.72710341,1363.53079257,-2.27008426999
18677473.5855,37802818.805,24443.6662884,-2756.22383813,1362.52587314,-2.27073427004
18663691.2252,37809628.9217,24432.3109926,-2756.72020635,1361.52077283,-2.27138396809
18649906.3841,37816434.0124,24420.9524492,-2757.21620801,1360.51549178,-2.27203336406
18636119.0638,37823234.0763,24409.5906595,-2757.71184304,1359.5100301,-2.27268245786
18622329.2662,37830029.1124,24398.2256251,-2758.20711138,1358.50438795,-2.2733312494
18608536.9933,37836819.1199,24386.8573475,-2758.70201297,1357.49856546,-2.2739797386
18594742.2467,37843604.0978,24375.4858282,-2759.19654772,1356.49256275,-2.27462792538
18580945.0284,37850384.0452,24364.1110688,-2759.69071559,1355.48637996,-2.27527580964
18567145.3402,37857158.9613,24352.7330706,-2760.1845165,1354.48001723,-2.27592339129
18553343.1839,37863928.8451,24341.3518354,-2760.67795039,1353.47347469,-2.27657067027
18539538.5613,37870693.6957,24329.9673644,-2761.17101719,1352.46675247,-2.27721764647
18525731.4743,37877453.5123,24318.5796594,-2761.66371684,1351.45985071,-2.27786431981
18511921.9247,37884208.2939,24307.1887217,-2762.15604927,1350.45276955,-2.27851069021
18498109.9144,37890958.0397,24295.794553,-2762.64801442,1349.4455091,-2.27915675758
18484295.4452,37897702.7487,24284.3971547,-2763.13961223,1348.43806952,-2.27980252184
18470478.5189,37904442.4201,24272.9965283,-2763.63084261,1347.43045093,-2.28044798289
18456659.1374,37911177.053,24261.5926753,-2764.12170553,1346.42265346,-2.28109314066
18442837.3025,37917906.6464,24250.1855974,-2764.61220089,1345.41467726,-2.28173799506
18429013.016,37924631.1994,24238.7752959,-2765.10232865,1344.40652245,-2.282382546
18415186.2798,37931350.7113,24227.3617724,-2765.59208874,1343.39818918,-2.2830267934
18401357.0957,37938065.181,24215.9450285,-2766.08148109,1342.38967756,-2.28367073716
18387525.4656,37944774.6078,24204.5250656,-2766.57050563,1341.38098775,-2.28431437722
18373691.3913,37951478.9906,24193.1018852,-2767.05916231,1340.37211986,-2.28495771347
18359854.8746,37958178.3287,24181.6754889,-2767.54745105,1339.36307404,-2.28560074584
18346015.9174,37964872.621,24170.2458783,-2768.0353718,1338.35385042,-2.28624347424
18332174.5215,37971561.8669,24158.8130547,-2768.52292449,1337.34444914,-2.28688589858
18318330.6887,37978246.0652,24147.3770198,-2769.01010904,1336.33487033,-2.28752801879
18304484.421,37984925.2153,24135.937775,-2769.49692541,1335.32511411,-2.28816983477
18290635.7201,37991599.3161,24124.4953219,-2769.98337352,1334.31518064,-2.28881134643
18276784.5879,37998268.3668,24113.0496621,-2770.46945331,1333.30507004,-2.2894525537
18262931.0262,38004932.3665,24101.6007969,-2770.95516472,1332.29478244,-2.29009345649
18249075.0368,38011591.3143,24090.148728,-2771.44050767,1331.28431798,-2.29073405472
18235216.6217,38018245.2094,24078.6934569,-2771.92548212,1330.2736768,-2.29137434829
18221355.7826,38024894.0508,24067.234985,-2772.41008798,1329.26285903,-2.29201433712
18207492.5214,38031537.8377,24055.773314,-2772.89432521,1328.2518648,-2.29265402114
18193626.84,38038176.5691,24044.3084453,-2773.37819372,1327.24069425,-2.29329340024
18179758.7401,38044810.2443,24032.8403805,-2773.86169347,1326.22934751,-2.29393247436
18165888.2237,38051438.8623,24021.3691211,-2774.34482438,1325.21782472,-2.2945712434
18152015.2925,38058062.4223,24009.8946686,-2774.8275864,1324.20612601,-2.29520970728
18138139.9484,38064680.9233,23998.4170245,-2775.30997945,1323.19425152,-2.29584786592
18124262.1933,38071294.3645,23986.9361904,-2775.79200347,1322.18220138,-2.29648571923
18110382.029,38077902.745,23975.4521678,-2776.27365841,1321.16997572,-2.29712326712
18096499.4573,38084506.064,23963.9649583,-2776.75494419,1320.15757468,-2.29776050951
18082614.4802,38091104.3205,23952.4745633,-2777.23586075,1319.1449984,-2.29839744632
18068727.0994,38097697.5137,23940.9809843,-2777.71640803,1318.13224701,-2.29903407746
18054837.3167,38104285.6426,23929.484223,-2778.19658596,1317.11932064,-2.29967040285
18040945.1341,38110868.7066,23917.9842808,-2778.67639449,1316.10621943,-2.3003064224
18027050.5534,38117446.7046,23906.4811593,-2779.15583354,1315.09294352,-2.30094213603
18013153.5764,38124019.6357,23894.97486,-2779.63490306,1314.07949303,-2.30157754365
17999254.205,38130587.4992,23883.4653844,-2780.11360298,1313.0658681,-2.30221264518
17985352.441,38137150.2941,23871.952734,-2780.59193323,1312.05206888,-2.30284744054
17971448.2863,38143708.0196,23860.4369105,-2781.06989376,1311.03809548,-2.30348192964
17957541.7427,38150260.6748,23848.9179152,-2781.5474845,1310.02394806,-2.3041161124
