Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg)
0.00000000,26587.619412,0.7467782, 64.8152,109.4180,325.6047,  3.4869
1.98816468,26588.818437,0.7467032, 64.8292,109.1173,325.5635,  3.3289
8.94671085,26590.373773,0.7463728, 64.8353,108.0871,325.3946,  2.9031
23.85813953,26588.312258,0.7458996, 64.8961,105.8483,325.0683,  2.2907
29.82315497,26587.528427,0.7456994, 64.9433,104.9444,324.9528,  2.1836
31.81153827,26587.089311,0.7455347, 64.9511,104.6495,324.9094,  2.1306
37.77719789,26588.788211,0.7453618, 64.9608,103.7662,324.7738,  2.1965
44.73781586,26590.840595,0.7449586, 65.0181,102.7149,324.6500,  2.2900
52.69370490,26593.862386,0.7446290, 65.0382,101.5424,324.4811,  2.4581
57.66666943,26595.112357,0.7442538, 65.0750,100.8040,324.3921,  2.5698
66.12108660,26596.270199,0.7438198, 65.0931, 99.5728,324.2071,  2.5638
66.61888148,26596.787752,0.7438048, 65.0974, 99.4985,324.2040,  2.8871
78.55582884,26596.898124,0.7428657, 65.1389, 97.7663,323.9519,  2.9514
85.02167277,26597.779807,0.7423589, 65.1747, 96.8295,323.8173,  2.7230
92.48439146,26591.671349,0.7418830, 65.1738, 95.7732,323.6499,  3.9133
110.39264774,26579.874771,0.7406338, 65.2251, 93.2241,323.2470,  4.8913
134.27037381,26551.627916,0.7394722, 65.2580, 89.8713,322.6602,  6.7980
466.83953390,26516.824845,0.7279742, 66.7627, 45.4590,312.6132,333.7891
479.79373130,26470.689942,0.7276287, 66.8081, 43.7974,312.2283,351.7100
557.53527670,26512.134670,0.7256906, 67.2574, 33.9555,309.5153,103.5281
562.51947359,26511.289306,0.7252809, 67.2644, 33.3711,309.3025,112.0333
571.49126964,26509.064574,0.7248265, 67.3182, 32.2689,308.9692,128.0540
583.45427518,26506.532454,0.7244775, 67.3548, 30.8438,308.4759,151.1540
586.44515566,26505.719730,0.7242095, 67.3612, 30.4953,308.3485,157.2362
609.37550738,26503.087823,0.7239263, 67.4316, 27.7529,307.3733,206.2791
