Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg)
0.00000000,42179.878044,0.0001082,  3.9148, 73.1847,244.4206,115.5021
2.99349720,42178.195025,0.0001694,  3.9227, 73.2615,243.2803,116.6534
6.98457570,42178.720530,0.0002042,  3.9291, 73.2026,273.3884, 86.6443
9.97774740,42179.217433,0.0002060,  3.9387, 73.1320,287.3326, 72.7729
10.97548799,42179.198183,0.0002031,  3.9426, 73.1240,289.6451, 70.4785
10.97548800,42179.198183,0.0002031,  3.9426, 73.1240,289.6451, 70.4785
10.97549769,42179.198231,0.0002031,  3.9426, 73.1240,289.6455, 70.4816
13.96860375,42178.477509,0.0001859,  3.9535, 73.1580,288.4751, 71.6119
14.96623031,42178.062490,0.0001808,  3.9562, 73.1821,284.8319, 75.2026
18.95749758,42176.675991,0.0002131,  3.9617, 73.2347,266.9752, 93.1684
19.95520622,42176.662986,0.0002326,  3.9627, 73.2209,266.9118, 93.2486
21.95053833,42177.198975,0.0002652,  3.9664, 73.1652,273.3063, 86.8906
23.94618807,42178.008328,0.0002721,  3.9734, 73.1090,283.5802, 76.7777
26.93940944,42177.467600,0.0002326,  3.9865, 73.1223,286.8772, 73.5462
28.93499185,42176.028604,0.0002380,  3.9922, 73.1851,277.9360, 82.5138
32.92585224,42175.462803,0.0003236,  3.9957, 73.1994,286.4029, 74.1044
33.92349536,42175.726403,0.0003375,  3.9969, 73.1731,290.8720, 69.6583
34.92112178,42175.988812,0.0003471,  3.9988, 73.1435,294.9021, 65.6508
35.91875031,42176.195969,0.0003530,  4.0012, 73.1160,298.3132, 62.2635
36.91639008,42176.315647,0.0003555,  4.0041, 73.0944,301.0652, 59.5354
39.90944776,42176.026747,0.0003462,  4.0136, 73.0844,305.4546, 55.2222
39.90959598,42176.028040,0.0003462,  4.0136, 73.0844,305.4610, 55.2692
40.90733257,42175.717814,0.0003383,  4.0164, 73.0988,305.5205, 55.2376
44.89819310,42174.039582,0.0003152,  4.0218, 73.1671,297.1013, 63.7291
49.88613506,42174.551706,0.0003922,  4.0267, 73.0524,297.6665, 63.2461
50.88366022,42174.943945,0.0004007,  4.0298, 73.0200,301.2603, 59.6622
52.87889167,42175.109552,0.0003901,  4.0372, 72.9906,306.9912, 53.9875
56.86952991,42172.815244,0.0003637,  4.0473, 73.0593,301.7894, 59.2440
56.86965359,42172.816671,0.0003636,  4.0473, 73.0593,301.7975, 59.2806
57.86726489,42172.427430,0.0003828,  4.0479, 73.0688,300.8684, 60.2133
57.86730963,42172.427673,0.0003828,  4.0479, 73.0688,300.8705, 60.2274
57.86761038,42172.429320,0.0003827,  4.0479, 73.0688,300.8842, 60.3222
61.85747284,42172.934568,0.0004734,  4.0500, 72.9746,309.5269, 51.6321
62.85490763,42173.192824,0.0004857,  4.0518, 72.9365,312.2713, 48.8855
65.84749876,42173.396093,0.0004952,  4.0600, 72.8601,318.2636, 42.9650
65.84756242,42173.396048,0.0004951,  4.0600, 72.8601,318.2644, 42.9872
67.84269962,42172.973009,0.0004832,  4.0656, 72.8547,320.2291, 41.0596
68.84034813,42172.618206,0.0004728,  4.0678, 72.8625,320.5066, 40.8201
69.83796305,42172.196914,0.0004606,  4.0695, 72.8730,320.1905, 41.1598
70.83552670,42171.746950,0.0004484,  4.0705, 72.8822,319.1903, 42.1666
71.83308945,42171.323176,0.0004390,  4.0711, 72.8854,317.5304, 43.8393
74.82557441,42170.887960,0.0004560,  4.0718, 72.8253,312.6293, 48.7790
75.82300931,42171.164673,0.0004764,  4.0729, 72.7822,312.9909, 48.4351
76.82043450,42171.593411,0.0004976,  4.0749, 72.7347,314.6881, 46.7591
79.81277407,42172.373695,0.0005172,  4.0850, 72.6330,322.6635, 38.8455
80.81031649,42172.091858,0.0005043,  4.0887, 72.6258,324.2214, 37.3195
82.80538723,42170.900549,0.0004754,  4.0945, 72.6416,323.6398, 37.9307
83.80286814,42170.280662,0.0004726,  4.0961, 72.6519,322.1150, 39.4481
87.79272009,42169.796302,0.0005527,  4.0982, 72.5851,322.2991, 39.3242
90.78485059,42170.589380,0.0006076,  4.1036, 72.4487,328.3291, 33.3552
91.78220679,42170.719581,0.0006151,  4.1066, 72.4106,330.1920, 31.5026
92.77974913,42170.730070,0.0006175,  4.1099, 72.3816,331.8279, 29.9371
96.76955825,42169.698128,0.0005866,  4.1212, 72.3509,335.6329, 26.2104
96.76955857,42169.698130,0.0005866,  4.1212, 72.3509,335.6329, 26.2105
99.76188270,42168.461683,0.0005441,  4.1248, 72.3407,334.1669, 27.7165
101.75661261,42168.161608,0.0005426,  4.1261, 72.2852,331.4748, 30.4323
103.75123516,42168.745868,0.0005793,  4.1295, 72.1866,331.2633, 30.6790
103.75123979,42168.745779,0.0005793,  4.1295, 72.1866,331.2633, 30.6807
104.74853817,42169.244395,0.0006022,  4.1326, 72.1337,332.8453, 29.1194
105.74585933,42169.660027,0.0006185,  4.1365, 72.0885,335.1871, 26.8018
106.74316411,42169.814980,0.0006228,  4.1409, 72.0567,337.6889, 24.3072
109.73533267,42168.472973,0.0005795,  4.1526, 72.0435,340.9651, 21.0687
110.73274873,42167.830245,0.0005685,  4.1550, 72.0501,340.1705, 21.8746
112.72753467,42167.050611,0.0005806,  4.1577, 72.0412,338.1428, 23.9316
113.72488178,42166.991312,0.0006011,  4.1586, 72.0185,337.8807, 24.2117
114.72218442,42167.114881,0.0006258,  4.1596, 71.9836,338.3233, 23.7851
120.70581585,42168.043411,0.0007078,  4.1772, 71.7470,346.8175, 15.3988
121.70309928,42167.859571,0.0007036,  4.1810, 71.7334,348.0918, 14.1274
123.69778148,42167.208091,0.0006824,  4.1875, 71.7276,350.0878, 12.1603
126.68978474,42165.969946,0.0006315,  4.1933, 71.7230,350.8050, 11.4794
127.68688408,42165.662939,0.0006172,  4.1945, 71.7077,350.1676, 12.0588
128.68416278,42165.508709,0.0006100,  4.1958, 71.6810,349.1865, 13.0590
130.67862145,42165.851659,0.0006275,  4.1997, 71.5956,347.6726, 14.6128
132.67313048,42166.813543,0.0006731,  4.2071, 71.4987,349.4952, 12.8701
133.67035032,42167.130112,0.0006878,  4.2120, 71.4639,351.6453, 10.7382
134.66759760,42167.094160,0.0006882,  4.2172, 71.4450,353.9623,  8.4351
136.66218347,42166.008480,0.0006531,  4.2263, 71.4504,356.7814,  5.6361
138.65680682,42164.714836,0.0006242,  4.2320, 71.4706,355.8191,  6.6170
141.64858945,42164.319054,0.0006620,  4.2365, 71.4284,353.6887,  8.7990
144.64020048,42165.026799,0.0007262,  4.2438, 71.3115,355.8616,  6.7101
145.63743112,42165.210550,0.0007401,  4.2475, 71.2750,357.1157,  5.4963
148.62906468,42165.111084,0.0007501,  4.2600, 71.2170,  1.1304,  1.5413
148.62908110,42165.111114,0.0007501,  4.2600, 71.2170,  1.1305,  1.5472
149.62632244,42164.848974,0.0007431,  4.2639, 71.2159,  2.3933,  0.2996
153.61521832,42163.252046,0.0006781,  4.2746, 71.2400,  5.7285,356.9784
157.60383267,42162.783393,0.0006394,  4.2814, 71.1622,  3.6952,359.0386
157.60389254,42162.782809,0.0006394,  4.2814, 71.1622,  3.6965,359.0590
160.59533632,42164.032888,0.0006960,  4.2930, 71.0503,  4.8857,357.9589
162.58960920,42163.974226,0.0007045,  4.3036, 71.0304,  9.2244,353.6286
164.58402098,42162.602209,0.0006620,  4.3122, 71.0640, 12.0032,350.8569
166.57840995,42161.404258,0.0006324,  4.3170, 71.0956, 10.7138,352.1465
168.57268969,42161.217583,0.0006517,  4.3199, 71.0804,  8.5278,354.3437
169.56978432,42161.396643,0.0006720,  4.3216, 71.0556,  8.1631,354.7181
171.56395432,42161.896218,0.0007121,  4.3267, 70.9925,  8.9628,353.9520
173.55811766,42162.199438,0.0007374,  4.3340, 70.9410, 10.9848,351.9595
176.54928641,42161.836598,0.0007381,  4.3460, 70.9277, 14.8951,348.0149
177.54676558,42161.508446,0.0007286,  4.3495, 70.9392, 16.2541,346.7833
183.53017409,42159.498082,0.0006209,  4.3603, 70.9717, 19.9271,343.3944
184.52695440,42159.553756,0.0006141,  4.3619, 70.9490, 19.1708,344.0657
186.52091096,42160.184117,0.0006310,  4.3673, 70.8877, 17.9147,345.3170
188.51492312,42160.914705,0.0006682,  4.3758, 70.8418, 19.5442,343.6976
189.51199066,42160.910557,0.0006763,  4.3807, 70.8384, 21.6162,341.6364
191.50620346,42159.802700,0.0006493,  4.3893, 70.8741, 25.9781,337.2836
192.50333449,42159.001142,0.0006232,  4.3923, 70.9016, 26.9340,336.3309
194.49762692,42157.979325,0.0005924,  4.3955, 70.9353, 25.2257,338.0774
195.49468345,42157.904995,0.0005967,  4.3964, 70.9320, 23.6076,339.7039
196.49175837,42158.047454,0.0006110,  4.3975, 70.9158, 22.3626,340.9790
197.48877098,42158.302390,0.0006298,  4.3991, 70.8911, 21.7596,341.6005
199.48273272,42158.807794,0.0006642,  4.4040, 70.8370, 22.2754,341.1115
201.47673358,42158.985915,0.0006829,  4.4108, 70.8039, 24.2073,339.2085
208.45611771,42156.785079,0.0006072,  4.4277, 70.8803, 34.1684,329.3283
210.45019029,42156.322250,0.0005659,  4.4290, 70.8736, 34.9557,328.5846
211.44715715,42156.326285,0.0005524,  4.4298, 70.8556, 34.4515,329.1021
211.44776105,42156.325350,0.0005525,  4.4298, 70.8556, 34.4703,329.3015
212.44398769,42156.506792,0.0005475,  4.4313, 70.8300, 33.5262,330.0010
215.43472686,42157.576998,0.0005820,  4.4400, 70.7516, 32.5888,330.9638
217.42865868,42157.528288,0.0005992,  4.4481, 70.7465, 36.3121,327.2586
219.42268280,42156.249667,0.0005688,  4.4546, 70.7884, 41.0545,322.5224
222.41364232,42154.732028,0.0005112,  4.4579, 70.8316, 39.7505,323.8252
227.39803625,42155.841228,0.0005719,  4.4650, 70.7088, 34.9890,328.6190
230.38873944,42155.762296,0.0005857,  4.4742, 70.6785, 38.4937,325.1400
231.38564433,42155.510107,0.0005818,  4.4769, 70.6848, 40.1795,323.4499
232.38258872,42155.170671,0.0005737,  4.4791, 70.6964, 42.0560,321.5788
240.35772881,42153.854927,0.0004475,  4.4854, 70.6364, 47.8363,315.8650
241.35451643,42154.254225,0.0004541,  4.4876, 70.6022, 46.5660,317.1391
243.34813656,42154.846345,0.0004812,  4.4941, 70.5533, 46.8277,316.8884
244.34498323,42154.795923,0.0004902,  4.4977, 70.5459, 48.7260,314.9942
249.32938796,42152.114606,0.0004123,  4.5071, 70.5957, 56.6727,307.0435
256.30683555,42153.411576,0.0004574,  4.5179, 70.3935, 47.5454,316.2245
258.30033978,42153.137639,0.0004598,  4.5237, 70.3760, 50.8093,312.9329
261.29089429,42152.095912,0.0004348,  4.5291, 70.3869, 58.1577,305.6175
267.27142211,42151.477309,0.0003278,  4.5327, 70.2667, 64.1084,299.6764
268.26787010,42151.909607,0.0003270,  4.5348, 70.2237, 61.6144,302.0894
271.25798369,42152.689718,0.0003601,  4.5450, 70.1343, 60.7836,302.9276
272.25474289,42152.432995,0.0003648,  4.5486, 70.1273, 63.6789,300.0341
274.24830480,42151.277717,0.0003463,  4.5540, 70.1373, 70.9387,292.7693
276.24185485,42150.242785,0.0003028,  4.5564, 70.1404, 74.0135,289.6901
278.23532438,42150.167184,0.0002710,  4.5573, 70.0981, 68.0425,295.6743
280.22864260,42150.820641,0.0002769,  4.5598, 70.0149, 59.1332,304.5902
280.22865215,42150.820487,0.0002769,  4.5598, 70.0149, 59.1340,304.5928
285.21204027,42151.446091,0.0003162,  4.5753, 69.8602, 59.2434,304.5140
288.20224038,42150.539384,0.0003020,  4.5828, 69.8497, 68.8000,294.9635
292.18904759,42149.440581,0.0002394,  4.5867, 69.7971, 84.2180,279.5477
297.17249782,42151.101091,0.0001990,  4.5992, 69.5882, 71.6582,292.2550
298.16864226,42151.277392,0.0002124,  4.6036, 69.5619, 71.6609,292.0748
302.15534157,42149.452491,0.0002014,  4.6175, 69.5542, 91.6960,271.9991
302.15534285,42149.452500,0.0002014,  4.6175, 69.5542, 91.6959,271.9996
304.14838371,42148.789462,0.0001572,  4.6203, 69.5397, 94.9615,268.6100
306.14154403,42149.057513,0.0001238,  4.6228, 69.4799, 80.9418,282.5969
306.14180208,42149.054002,0.0001238,  4.6228, 69.4799, 80.9859,282.6460
306.14180336,42149.053984,0.0001238,  4.6228, 69.4799, 80.9862,282.6462
307.13836642,42149.404316,0.0001224,  4.6248, 69.4374, 70.1728,293.4520
310.12808803,42150.309573,0.0001512,  4.6347, 69.3163, 55.5461,308.0730
312.12130866,42150.315597,0.0001622,  4.6429, 69.2741, 58.9648,304.6448
316.10754157,42149.174484,0.0001464,  4.6551, 69.2635, 81.2723,282.1720
316.10776648,42149.175631,0.0001465,  4.6551, 69.2635, 81.2651,282.2604
320.09477447,42148.384545,0.0000983,  4.6612, 69.2041,116.0983,247.5893
324.08093977,42149.935302,0.0000419,  4.6738, 69.0478, 82.9198,280.7353
329.06395225,42148.642570,0.0000744,  4.6960, 69.0269,124.0232,239.5486
332.05382715,42147.851918,0.0000373,  4.7017, 69.0162,190.3348,173.2024
335.04346362,42148.754856,0.0000474,  4.7084, 68.9211,312.1783, 51.3304
336.03997729,42149.095354,0.0000605,  4.7119, 68.8863,326.8164, 36.6777
337.03652450,42149.346119,0.0000697,  4.7159, 68.8570,336.2974, 27.1899
339.02968483,42149.464571,0.0000729,  4.7247, 68.8243,348.4328, 15.0417
341.02292850,42149.091660,0.0000564,  4.7327, 68.8248,355.1058,  8.3538
345.00946494,42147.837856,0.0000246,  4.7426, 68.8474,247.1194,116.3017
347.00262604,42147.577334,0.0000644,  4.7457, 68.8264,239.6899,123.7039
348.99570848,42147.936131,0.0000972,  4.7499, 68.7746,254.6555,108.7146
349.99219156,42148.364104,0.0001076,  4.7530, 68.7424,265.0701, 98.2748
349.99220028,42148.364011,0.0001076,  4.7530, 68.7424,265.0689, 98.2792
356.96840445,42147.503955,0.0001013,  4.7828, 68.7328,258.6670,104.6023
359.95817321,42147.204147,0.0001693,  4.7875, 68.7286,275.6618, 87.5513
361.95127617,42147.927976,0.0001965,  4.7917, 68.6781,291.3808, 71.8193
364.94086864,42148.746781,0.0002093,  4.8024, 68.6129,305.9219, 57.2355
372.91380607,42147.096465,0.0001808,  4.8240, 68.6716,287.5080, 75.5505
375.90349194,42147.266266,0.0002293,  4.8278, 68.6334,283.2548, 79.7593
379.88967097,42148.907564,0.0002663,  4.8408, 68.5504,298.7226, 64.2477
386.86597711,42146.638058,0.0003064,  4.8591, 68.6315,291.0343, 71.7942
388.85903375,42147.410948,0.0003508,  4.8616, 68.5896,299.7883, 62.9975
390.85208714,42148.193363,0.0003716,  4.8666, 68.5400,307.2874, 55.4672
393.84181064,42148.485937,0.0003686,  4.8766, 68.5146,313.1390, 49.5756
395.83506288,42148.111550,0.0003527,  4.8822, 68.5338,313.4591, 49.2281
399.82158353,42147.039142,0.0003320,  4.8870, 68.5764,305.8736, 56.7484
401.81472646,42146.981570,0.0003511,  4.8878, 68.5606,302.0968, 60.4824
406.79740725,42148.835243,0.0004231,  4.8975, 68.4461,309.9535, 52.5327
413.77374461,42146.820386,0.0004317,  4.9130, 68.4951,306.6493, 55.6877
417.75991656,42148.519149,0.0005291,  4.9175, 68.3866,317.0764, 45.1855
