Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg)
0.00000000,26587.619412,0.7467782, 64.8152,109.4180,325.6047,  3.4869
1.98816468,26588.738011,0.7467021, 64.8293,109.1172,325.5637,  3.3333
8.94671085,26589.971289,0.7463677, 64.8361,108.0869,325.3952,  2.9524
23.85813953,26589.447236,0.7459076, 64.8969,105.8485,325.0692,  2.5335
29.82315497,26589.678218,0.7457169, 64.9436,104.9449,324.9542,  2.4721
31.81153827,26589.651579,0.7455561, 64.9513,104.6502,324.9110,  2.4251
37.77719789,26591.250502,0.7453821, 64.9605,103.7672,324.7764,  2.4851
44.73781586,26592.778094,0.7449742, 65.0177,102.7159,324.6538,  2.5505
52.69370490,26594.855313,0.7446357, 65.0383,101.5431,324.4862,  2.7094
57.66666943,26595.526609,0.7442548, 65.0755,100.8043,324.3978,  2.8447
66.12108660,26596.946076,0.7438219, 65.0943, 99.5727,324.2138,  2.9324
66.61888148,26595.402654,0.7437868, 65.0985, 99.4984,324.2100,  3.2633
78.55582884,26594.209936,0.7428316, 65.1403, 97.7660,323.9580,  3.5312
85.02167277,26596.643697,0.7423377, 65.1760, 96.8295,323.8247,  3.4130
92.48439146,26581.681128,0.7417757, 65.1742, 95.7739,323.6518,  4.7130
110.39264774,26566.210667,0.7404943, 65.2241, 93.2259,323.2455,  5.8094
134.27037381,26538.352928,0.7393481, 65.2575, 89.8721,322.6568,  7.8258
466.83953390,26517.089996,0.7279922, 66.7611, 45.4585,312.6137,338.0388
479.79373130,26418.367685,0.7270305, 66.8063, 43.7838,312.2063,355.9311
557.53527670,26511.192063,0.7256847, 67.2602, 33.9562,309.5113,108.9216
562.51947359,26510.293625,0.7252744, 67.2673, 33.3718,309.2972,117.6352
571.49126964,26508.087571,0.7248178, 67.3211, 32.2700,308.9619,134.0340
583.45427518,26505.649809,0.7244680, 67.3576, 30.8453,308.4663,157.6188
586.44515566,26504.877770,0.7242003, 67.3638, 30.4969,308.3385,163.8128
609.37550738,26502.822810,0.7239206, 67.4323, 27.7542,307.3618,213.4207
766.41028720,26508.946405,0.7196918, 67.9627,  9.0866,300.9837,145.5171
840.36696056,26506.053849,0.7192899, 68.2259,  0.4319,297.8313, 71.9191
849.35741208,26509.216356,0.7189059, 68.2459,359.4025,297.4418,102.2140
861.84389320,26512.298411,0.7181390, 68.2732,357.9909,296.9195,142.7404
865.34026912,26513.210406,0.7181157, 68.2886,357.5771,296.7869,153.9508
868.33698621,26513.578043,0.7177524, 68.3040,357.2287,296.6785,163.3295
876.32777474,26515.133980,0.7173290, 68.3115,356.3442,296.3090,187.8329
1212.37196112,26503.382591,0.7055499, 68.8484,319.8967,281.2725,139.0981
1241.73695294,26509.653106,0.7041793, 68.8298,316.9283,279.8608,165.7038
1241.73718061,26509.653236,0.7041793, 68.8298,316.9283,279.8608,165.8686
1265.62049936,26514.337355,0.7034625, 68.8119,314.5014,278.7533,176.8458
1290.99340600,26516.723194,0.7030915, 68.8104,311.8645,277.6514,182.3531
1301.93924689,26516.779981,0.7029940, 68.8188,310.7070,277.2017,184.8059
1317.36405526,26515.248200,0.7023577, 68.8326,309.1037,276.5557,189.5032
1334.78213360,26512.260540,0.7015736, 68.8520,307.3153,275.8082,198.5465
1348.72002618,26509.176849,0.7007339, 68.8700,305.8936,275.2102,210.0438
1354.19615461,26508.075013,0.7004450, 68.8816,305.3218,274.9877,215.4389
1362.65996629,26505.897091,0.6997971, 68.8873,304.5009,274.5840,224.8998
1366.14550294,26505.389901,0.6996914, 68.8920,304.1380,274.4381,229.2876
1372.61887039,26504.046542,0.6989772, 68.8982,303.5128,274.1373,237.8590
1377.59855942,26503.357089,0.6988653, 68.8964,303.0253,273.8952,244.8149
1384.57076128,26502.870850,0.6982613, 68.9038,302.3385,273.5785,255.1495
1394.53284475,26502.763668,0.6979187, 68.8984,301.3670,273.0998,271.4363
1398.01863367,26502.986874,0.6975444, 68.8980,301.0373,272.9321,276.4207
1405.49002630,26503.521726,0.6974210, 68.8866,300.3206,272.5599,288.3691
1412.96234201,26505.028226,0.6969158, 68.8828,299.5996,272.2071,300.6297
1427.41019077,26509.590010,0.6965322, 68.8618,298.1982,271.5230,324.1495
1439.86558071,26523.916572,0.6964084, 68.8473,296.9666,270.9544,343.1630
1470.76247884,26518.855718,0.6957472, 68.8116,293.8551,269.6191, 30.2892
1478.73642337,26516.917106,0.6953932, 68.8110,293.0306,269.3106, 41.9937
1493.68913750,26515.977077,0.6946923, 68.8104,291.5409,268.6911, 64.9361
1499.17149068,26515.679471,0.6945627, 68.8070,291.0076,268.4504, 73.2162
1520.60661328,26512.519252,0.6929965, 68.8215,288.8965,267.5643,109.7331
1542.04303708,26508.219776,0.6916984, 68.8259,286.8544,266.6119,150.6514
1555.00629239,26505.482017,0.6909865, 68.8268,285.6505,266.0097,178.6387
