Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg)
0.00000000,26587.619412,0.7467782, 64.8152,109.4180,325.6047,  3.4869
1.98816468,26588.406141,0.7467004, 64.8292,109.1172,325.5641,  3.3470
8.94671085,26588.921991,0.7463646, 64.8357,108.0865,325.3986,  3.0681
23.85813953,26587.709461,0.7459047, 64.8961,105.8469,325.0837,  3.1824
29.82315497,26586.200376,0.7456991, 64.9424,104.9428,324.9751,  3.4459
31.81153827,26585.643259,0.7455335, 64.9500,104.6479,324.9345,  3.5315
37.77719789,26580.440574,0.7452938, 64.9587,103.7643,324.8066,  4.0711
44.73781586,26569.157027,0.7447630, 65.0149,102.7121,324.6904,  4.8624
52.69370490,26549.252043,0.7442171, 65.0339,101.5380,324.5238,  6.1247
57.66666943,26535.347146,0.7437050, 65.0700,100.7981,324.4318,  7.1022
66.12108660,26516.753267,0.7431019, 65.0864, 99.5641,324.2408,  8.9219
66.61888148,26513.118846,0.7430587, 65.0902, 99.4894,324.2286,  9.3706
78.55582884,26501.160192,0.7420526, 65.1296, 97.7531,323.9610, 12.5869
85.02167277,26499.267335,0.7415404, 65.1648, 96.8149,323.8255, 14.2220
92.48439146,26499.368549,0.7411789, 65.1619, 95.7566,323.6368, 17.6803
110.39264774,26501.392467,0.7401302, 65.2133, 93.2050,323.2299, 24.6494
134.27037381,26500.338292,0.7392788, 65.2525, 89.8471,322.6524, 37.2976
466.83953390,26478.315808,0.7281412, 66.7387, 45.2374,312.7470,338.7744
479.79373130,26469.481318,0.7280623, 66.7932, 43.5302,312.3071, 17.5366
557.53527670,26465.776336,0.7257236, 67.2458, 33.6878,309.5853,280.4029
562.51947359,26467.132219,0.7253407, 67.2449, 33.0982,309.3688,298.5215
571.49126964,26471.785148,0.7249408, 67.2848, 31.9846,309.0386,330.7734
583.45427518,26472.081727,0.7246029, 67.3083, 30.5013,308.5632, 13.6448
586.44515566,26463.046220,0.7243193, 67.3079, 30.1461,308.4246, 24.4173
609.37550738,26464.579980,0.7242122, 67.3716, 27.3781,307.5147,108.2572
766.41028720,26472.992826,0.7199434, 67.9208,  8.5651,301.0975, 12.9827
840.36696056,26455.845890,0.7195900, 68.1813,359.8354,298.0183, 83.7043
849.35741208,26459.007784,0.7192018, 68.2017,358.7982,297.6347,132.6383
861.84389320,26460.833017,0.7184375, 68.2325,357.3779,297.1209,199.2808
865.34026912,26461.357091,0.7184066, 68.2499,356.9616,296.9910,217.9339
868.33698621,26461.463494,0.7180284, 68.2664,356.6128,296.8840,233.7674
876.32777474,26460.621173,0.7176105, 68.2802,355.7250,296.5178,275.9099
1212.37196112,26455.230819,0.7058760, 68.7722,318.9021,281.4883,290.8530
1241.73695294,26455.735346,0.7044867, 68.7879,315.8749,280.1020, 21.7463
1241.73718061,26455.581634,0.7044854, 68.7878,315.8749,280.1018, 21.9119
1265.62049936,26449.727233,0.7037668, 68.7811,313.4337,278.9509, 94.7810
1290.99340600,26455.143224,0.7034000, 68.7726,310.7747,277.8360,165.9787
1301.93924689,26455.535462,0.7032886, 68.7810,309.6078,277.3886,195.9898
1317.36405526,26453.089737,0.7026234, 68.7991,307.9941,276.7399,239.7781
